Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 20:06:19,2018-12-23 20:06:49,"29,272s",FAILED
,,,,,,
Test Cases/RESERVATION/CT_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 20:06:20,2018-12-23 20:06:45,"25,560s",FAILED
"openBrowser(""www.airfrance.fr"")",Firefox 64.0,,2018-12-23 20:06:21,2018-12-23 20:06:42,"21,454s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/01_span_Accepter""))",Firefox 64.0,,2018-12-23 20:06:42,2018-12-23 20:06:42,"0,495s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/02_label_ALLER SIMPLE""))",Firefox 64.0,,2018-12-23 20:06:42,2018-12-23 20:06:43,"0,727s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/03_input_Aroport de dpart_minibe_""), ""CDG"" + ENTER)",Firefox 64.0,,2018-12-23 20:06:43,2018-12-23 20:06:44,"0,592s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/04_input_concat(Aroport d arrive""), ""NCE"" + ENTER)",Firefox 64.0,,2018-12-23 20:06:44,2018-12-23 20:06:45,"0,906s",PASSED
"waitForElementClickable(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/05_td_31""), 0)",Firefox 64.0,,2018-12-23 20:06:45,2018-12-23 20:06:45,"0,706s",FAILED
