Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 21:41:25,2018-12-23 21:42:36,"1m - 10,864s",PASSED
,,,,,,
Test Cases/RESERVATION/CT_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 21:41:26,2018-12-23 21:42:32,"1m - 6,713s",PASSED
"openBrowser(""www.airfrance.fr"")",Firefox 64.0,,2018-12-23 21:41:27,2018-12-23 21:42:13,"45,759s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/01_span_Accepter""))",Firefox 64.0,,2018-12-23 21:42:13,2018-12-23 21:42:14,"1,316s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/02_label_ALLER SIMPLE""))",Firefox 64.0,,2018-12-23 21:42:14,2018-12-23 21:42:14,"0,440s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/03_input_Aroport de dpart_minibe_""), ""CDG"" + ENTER)",Firefox 64.0,,2018-12-23 21:42:14,2018-12-23 21:42:16,"1,616s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/04_input_concat(Aroport d arrive""), ""NCE"" + ENTER)",Firefox 64.0,,2018-12-23 21:42:16,2018-12-23 21:42:17,"0,921s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/button_24 dc. 2018""))",Firefox 64.0,,2018-12-23 21:42:17,2018-12-23 21:42:18,"1,050s",PASSED
"waitForElementClickable(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/td_31""), 0)",Firefox 64.0,,2018-12-23 21:42:18,2018-12-23 21:42:21,"3,266s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/td_31""))",Firefox 64.0,,2018-12-23 21:42:21,2018-12-23 21:42:22,"0,813s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/06_button_RECHERCHER""))",Firefox 64.0,,2018-12-23 21:42:22,2018-12-23 21:42:32,"10,011s",PASSED
"waitForElementVisible(findTestObject(""RESERVATION_ALLER_OR/Page_01_Rserver un billet - Liste des/li_tape en cours    Horaires""), 0)",Firefox 64.0,,2018-12-23 21:42:32,2018-12-23 21:42:32,"0,150s",PASSED
assert true,Firefox 64.0,,2018-12-23 21:42:32,2018-12-23 21:42:32,"0,001s",PASSED
