Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 22:16:23,2018-12-23 22:17:26,"1m - 2,621s",PASSED
,,,,,,
Test Cases/RESERVATION/CT_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 22:16:24,2018-12-23 22:17:23,"58,563s",PASSED
"openBrowser(""www.airfrance.fr"")",Firefox 64.0,,2018-12-23 22:16:25,2018-12-23 22:17:03,"38,278s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/01_span_Accepter""))",Firefox 64.0,,2018-12-23 22:17:03,2018-12-23 22:17:04,"0,866s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/02_label_ALLER SIMPLE""))",Firefox 64.0,,2018-12-23 22:17:04,2018-12-23 22:17:05,"1,081s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/03_input_Aroport de dpart_minibe_""), ""CDG"" + ENTER)",Firefox 64.0,,2018-12-23 22:17:05,2018-12-23 22:17:06,"0,983s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/04_input_concat(Aroport d arrive""), ""NCE"" + ENTER)",Firefox 64.0,,2018-12-23 22:17:06,2018-12-23 22:17:06,"0,479s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/button_24 dc. 2018""))",Firefox 64.0,,2018-12-23 22:17:06,2018-12-23 22:17:12,"5,829s",PASSED
"waitForElementClickable(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/td_31""), 0)",Firefox 64.0,,2018-12-23 22:17:12,2018-12-23 22:17:13,"0,380s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/td_31""))",Firefox 64.0,,2018-12-23 22:17:13,2018-12-23 22:17:14,"1,843s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/06_button_RECHERCHER""))",Firefox 64.0,,2018-12-23 22:17:14,2018-12-23 22:17:22,"7,938s",PASSED
"waitForElementVisible(findTestObject(""RESERVATION_ALLER_OR/Page_01_Rserver un billet - Liste des/li_tape en cours    Horaires""), 0)",Firefox 64.0,,2018-12-23 22:17:22,2018-12-23 22:17:23,"0,085s",PASSED
assert true,Firefox 64.0,,2018-12-23 22:17:23,2018-12-23 22:17:23,"0,002s",PASSED
