Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 19:39:32,2018-12-23 19:40:05,"33,392s",PASSED
,,,,,,
Test Cases/RESERVATION/CT_RESERVATION_ALLER,Firefox 64.0,,2018-12-23 19:39:33,2018-12-23 19:40:02,"29,580s",PASSED
"openBrowser(""www.airfrance.fr"")",Firefox 64.0,,2018-12-23 19:39:34,2018-12-23 19:39:51,"17,004s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/01_span_Accepter""))",Firefox 64.0,,2018-12-23 19:39:51,2018-12-23 19:39:51,"0,633s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/02_label_ALLER SIMPLE""))",Firefox 64.0,,2018-12-23 19:39:51,2018-12-23 19:39:52,"0,876s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/03_input_Aroport de dpart_minibe_""), ""CDG"" + ENTER)",Firefox 64.0,,2018-12-23 19:39:52,2018-12-23 19:39:53,"0,514s",PASSED
"setText(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/04_input_concat(Aroport d arrive""), ""NCE"" + ENTER)",Firefox 64.0,,2018-12-23 19:39:53,2018-12-23 19:39:53,"0,629s",PASSED
"waitForElementClickable(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/05_td_31""), 0)",Firefox 64.0,,2018-12-23 19:39:53,2018-12-23 19:39:54,"0,535s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/05_td_31""))",Firefox 64.0,,2018-12-23 19:39:54,2018-12-23 19:39:54,"0,511s",PASSED
"click(findTestObject(""RESERVATION_ALLER_OR/Page_00_Billets davion rservation de v/06_button_RECHERCHER""))",Firefox 64.0,,2018-12-23 19:39:54,2018-12-23 19:40:02,"7,583s",PASSED
"waitForElementVisible(findTestObject(""RESERVATION_ALLER_OR/Page_01_Rserver un billet - Liste des/li_tape en cours    Horaires""), 0)",Firefox 64.0,,2018-12-23 19:40:02,2018-12-23 19:40:02,"0,163s",PASSED
assert true,Firefox 64.0,,2018-12-23 19:40:02,2018-12-23 19:40:02,"0,003s",PASSED
